T13,Gross Value added by kind of economic activity,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
24,Angola,2019,Services (% of gross value added),45.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,1995,Industry (% of gross value added),14.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2005,Industry (% of gross value added),19.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2010,Industry (% of gross value added),16.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2015,Industry (% of gross value added),15.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2018,Industry (% of gross value added),21.6,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2019,Industry (% of gross value added),11.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,1995,Services (% of gross value added),82.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2005,Services (% of gross value added),77.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2010,Services (% of gross value added),81.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2015,Services (% of gross value added),81.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2018,Services (% of gross value added),76.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2019,Services (% of gross value added),85.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",1.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2019,"Agriculture, hunting, forestry and fishing (% of gross value added)",2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,1995,Industry (% of gross value added),14.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2005,Industry (% of gross value added),16.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2010,Industry (% of gross value added),18.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2015,Industry (% of gross value added),18.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2018,Industry (% of gross value added),23.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2019,Industry (% of gross value added),24.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,1995,Services (% of gross value added),83.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2005,Services (% of gross value added),81.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2010,Services (% of gross value added),79.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2015,Services (% of gross value added),79.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2018,Services (% of gross value added),74.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2019,Services (% of gross value added),74.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2005,"Agriculture, hunting, forestry and fishing (% of gross value added)",9.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2010,"Agriculture, hunting, forestry and fishing (% of gross value added)",8.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2015,"Agriculture, hunting, forestry and fishing (% of gross value added)",6.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2018,"Agriculture, hunting, forestry and fishing (% of gross value added)",7.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
